Price,Close,High,Low,Open,Volume
Ticker,GP,GP,GP,GP,GP
Date,,,,,
2024-02-21,2.140000104904175,2.200000047683716,2.0999999046325684,2.200000047683716,47300
2024-02-22,2.109999895095825,2.171999931335449,2.0299999713897705,2.140000104904175,59400
2024-02-23,2.0299999713897705,2.140000104904175,1.9800000190734863,2.140000104904175,95100
2024-02-26,2.0299999713897705,2.119999885559082,1.940000057220459,2.049999952316284,73200
2024-02-27,2.109999895095825,2.1600000858306885,2.0,2.0,68000
2024-02-28,2.130000114440918,2.190000057220459,2.1110000610351562,2.1600000858306885,31300
2024-02-29,2.130000114440918,2.2139999866485596,2.130000114440918,2.1700000762939453,23200
2024-03-01,2.240000009536743,2.25,2.1080000400543213,2.130000114440918,61800
2024-03-04,2.2300000190734863,2.367000102996826,2.190000057220459,2.309999942779541,43800
2024-03-05,2.1600000858306885,2.234999895095825,2.1549999713897705,2.1600000858306885,116300
2024-03-06,2.200000047683716,2.2929999828338623,2.1600000858306885,2.190000057220459,36500
2024-03-07,2.200000047683716,2.2869999408721924,2.0999999046325684,2.2300000190734863,25200
2024-03-08,2.200000047683716,2.309999942779541,2.140000104904175,2.140000104904175,46300
2024-03-11,2.240000009536743,2.2899999618530273,2.180000066757202,2.180000066757202,48900
2024-03-12,2.130000114440918,2.2300000190734863,2.130000114440918,2.200000047683716,31600
2024-03-13,2.130000114440918,2.200000047683716,2.069999933242798,2.0999999046325684,30200
2024-03-14,2.049999952316284,2.119999885559082,1.9800000190734863,2.0899999141693115,76200
2024-03-15,2.069999933242798,2.130000114440918,2.0450000762939453,2.069999933242798,7600
2024-03-18,2.0399999618530273,2.115000009536743,1.9900000095367432,2.0899999141693115,50400
2024-03-19,1.9299999475479126,2.0399999618530273,1.8799999952316284,2.0399999618530273,60800
2024-03-20,1.9800000190734863,2.0220000743865967,1.9199999570846558,1.9299999475479126,52100
2024-03-21,2.0299999713897705,2.0999999046325684,1.9420000314712524,1.9600000381469727,32400
2024-03-22,1.940000057220459,2.0,1.9049999713897705,1.9500000476837158,43700
2024-03-25,1.9500000476837158,2.0329999923706055,1.9199999570846558,1.9299999475479126,24800
2024-03-26,2.0199999809265137,2.0999999046325684,1.940000057220459,1.9800000190734863,26400
2024-03-27,2.0,2.055000066757202,1.9900000095367432,2.0299999713897705,17300
2024-03-28,1.9700000286102295,2.0799999237060547,1.9700000286102295,1.9700000286102295,17700
2024-04-01,1.9199999570846558,1.9950000047683716,1.8899999856948853,1.9500000476837158,70400
2024-04-02,1.8600000143051147,1.9700000286102295,1.809999942779541,1.899999976158142,35500
2024-04-03,1.809999942779541,1.899999976158142,1.809999942779541,1.809999942779541,52500
2024-04-04,1.7999999523162842,1.899999976158142,1.7400000095367432,1.8300000429153442,45500
2024-04-05,1.7699999809265137,1.8200000524520874,1.75,1.7799999713897705,31600
2024-04-08,1.7300000190734863,1.8420000076293945,1.659999966621399,1.7999999523162842,61000
2024-04-09,1.7000000476837158,1.809000015258789,1.6699999570846558,1.7300000190734863,26800
